11111;Employé de ménage à domicile;SERVICE MAISON 42079
11112;Intervenant à domicile;AUXILIAIRE MENAGERE 44019$AUXILIAIRE VIE 44028
11113;Intervenant auprès d'enfants;ASSISTANCE MATERNELLE 44030$AUXILIAIRE PUERICULTURE 44051$ENFANCE 44042
11121;Assistant en cabinet médical;ASSISTANCE DENTAIRE 43485
11122;Agent de service de collectivité;AGENT SERVICE HOSPITALIER 43429$BRANCARDIER 43413$EMPLOYE COLLECTIVITE 42069
11131;Assistant de coiffure;ASSISTANCE COIFFURE 42060
11132;Coiffeur;COIFFURE 42050$SPECIALISATION COIFFURE 42061
11133;Esthéticien-cosméticien;ESTHETIQUE SOIN CORPOREL 42032$MANUCURE 42030
11141;Employé technique des services funéraires;SERVICE FUNERAIRE 42057
11151;Auxiliaire de soins aux animaux;TOILETTAGE 42003
11211;Nettoyeur de locaux et de surfaces;ENTRETIEN SOL 42083$NETTOYAGE LOCAUX 42093
11212;Laveur de vitres spécialisé;ENTRETIEN VITRE 42084
11213;Agent d'entretien et de nettoyage urbain;AMENAGEMENT EQUIPEMENT COLLECTIF 12503
11214;Agent d'entretien et d'assainissement;NETTOYAGE LOCAUX 42093$RAMASSAGE DECHET MENAGER 31782
11221;Agent de gardiennage et d'entretien;GARDIENNAGE IMMEUBLE 42810
11222;Agent de sécurité et de surveillance;MAITRE CHIEN 42824$PREVENTION SECURITE 42854$SECURITE BANCAIRE 41050$SECURITE ERP 42850$SECURITE TRANSPORT 31875$SURVEILLANCE GARDIENNAGE 42822$SURVEILLANCE MAGASIN 42820$VEILLEUR NUIT 44005
11311;Agent de la sécurité et de l'ordre public;POLICE GENDARMERIE 42837$POMPIER 42880
11312;Technicien de la sécurité et de l'ordre public;POLICE GENDARMERIE 42837
12111;Distributeur messagerie;MESSAGERIE 31731
12112;Agent d'accueil;ACCUEIL 35052$ACCUEIL TOURISME 42686$ENTRETIEN TELEPHONIQUE 35050$STANDARD 35082
12113;Agent d'enquêtes;ETUDE MARCHE 34060$SONDAGE 11029
12121;Agent administratif d'entreprise;CLASSEMENT 35091$MAITRISE 32010$RELANCE IMPAYES 34058$TECHNIQUE ADMINISTRATIVE 35071
12122;Transcripteur dactylographe;AUDIOTYPIE 35003$CORRESPONDANCE COMMERCIALE 35029$CORRESPONDANCE PROFESSIONNELLE 35093$DACTYLOGRAPHIE 35012$ECRITURE ABREGEE 35041$STENODACTYLOGRAPHIE 35032$STENOGRAPHIE 35021$STENOGRAPHIE ETRANGERE 35010$STENOTYPIE 35030
12131;Secrétaire bureautique polyvalent;BUREAUTIQUE 35066$DACTYLOGRAPHIE 35012$SECRETARIAT ASSISTANCE 35054$SECRETARIAT MULTILINGUE 35018$SECRETARIAT PME-PMI 35007$TELESECRETARIAT 35056
12132;Secrétaire bureautique spécialisé;ASSISTANCE EXPORT 34279$ASSISTANCE MARKETING 34042$SECRETARIAT COMMERCE INTERNATIONAL 35019$SECRETARIAT COMMERCIAL 35028$SECRETARIAT COMPTABLE 35049$SECRETARIAT FORMATION 35004$SECRETARIAT JURIDIQUE 35006$SECRETARIAT MEDICOSOCIAL 35015$SECRETARIAT RESSOURCES HUMAINES 35014$SECRETARIAT SPECIALISE 35035$SECRETARIAT TECHNIQUE 35039
12133;Assistant de direction;ASSISTANCE DIRECTION 35047
12141;Technicien des services administratifs;ADMINISTRATION PERSONNEL 33052$COMPTABILITE CHARGES PERSONNEL 32688
12142;Technicien des services comptables;COMPTABILITE CHARGES PERSONNEL 32688$COMPTABILITE GENERALE 32667$IMPRIME FISCAL 13326$LIASSE FISCALE 13307$RESULTAT FISCAL 13393$TAXE APPRENTISSAGE 13398$TAXE EFFORT CONSTRUCTION 13396$TAXE FORMATION PROFESSIONNELLE 13397$TAXE PROFESSIONNELLE 13379$TAXE SUR SALAIRE 13386$TVA 13389$TVA INTRACOMMUNAUTAIRE 13378
